feature_name,meaning,feature_family,data_type,time_scope,value_role,nullable,non_null_count,null_count,null_rate,zero_count,companion_feature,missing_meaning,modeling_role,baseline_set,decision_rationale
meet_code,Current-race declared value,현재 출전마·경주 기본정보,INTEGER,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
race_grade,Current-race declared value,현재 출전마·경주 기본정보,VARCHAR,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
distance_m,Current-race declared value,현재 출전마·경주 기본정보,INTEGER,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
registered_runner_count,Current-race declared value,현재 출전마·경주 기본정보,INTEGER,CURRENT,count/sample-size,False,48524,0,0.0,0,,0은 해당 Historical 관측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
gate_no,Current-race declared value,현재 출전마·경주 기본정보,INTEGER,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
horse_sex,Current-race declared value,현재 출전마·경주 기본정보,VARCHAR,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
horse_age,Current-race declared value,현재 출전마·경주 기본정보,INTEGER,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
carried_weight,Current-race declared value,현재 출전마·경주 기본정보,"DECIMAL(8,2)",CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
rating,Current-race declared value,현재 출전마·경주 기본정보,INTEGER,CURRENT,raw/current value,False,48524,0,0.0,13260,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
race_age_condition,Declared race condition/value,현재 경주 조건,VARCHAR,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
